День,Название группы,№ Группы,Тип условия показа,Ключевая фраза,Условие подбора аудитории,Условие подбора аудитории,Название корректировки,Корректировки,Поисковый запрос,Категория запроса,Упоминания брендов в запросах,Тип соответствия,№ Объявления,Тип объявления,Заголовок,Текст,Статус объявления,Ссылка,Путь до изображения,Название файла изображения,Идентификатор видео,Путь до превью видео,Формат,Источник текста,Тип площадки,Вид размещения,Тематика телеграм-канала,Тип устройства,Тип операционной системы,Тип связи,Подобранная фраза,Пол,Возраст,Уровень платежеспособности,Уровень трат в категории,Производитель устройства,Версия ОС устройства,"Расход, ₽",Показы,Клики,Конверсии,"CR, %","CPA, ₽","CTR, %","CPC, ₽",Взвешенные показы,"Взвешенный CTR, %",Ср. объём трафика,Ср. позиция показа,Ср. позиция клика,"Отказы, %",Глубина просмотра
23.08.2026,Аренда в Сириусе,5787634638,Автотаргетинг,,-,0,-,0,сириус прогулка на яхте,Целевые запросы,Запросы без упоминания брендов,-,1918637737025426521,Комбинаторное,Арендовать яхту в Сириусе — бронь сегодня,"Весь катер для вас, не групповая прогулка. Выход из Имеретинского порта. От 2 часов",Активные,https://boat-sochi.ru/?utm_content=sirius_1&utm_term={PHRASE},-,-,-,-,Текстово-графический,Оригинальный,Поиск,Прочее,Не определено,Смартфоны,Android,Wi-Fi,,Мужской,35-44 года,2–5%,Не определено,-,-,0.00,1,0,0,-,-,0.00,-,0.09,0.00,8.50,5.00,-,-,-
23.08.2026,Аренда в Сириусе,5787634638,Автотаргетинг,,-,0,-,0,сириус прогулка на яхте,Целевые запросы,Запросы без упоминания брендов,-,1918637737025426521,Комбинаторное,Заголовок из контента поискового сниппета или настроек объявления,Текст из контента поискового сниппета или настроек объявления,Активные,https://boat-sochi.ru/?utm_content=sirius_1&utm_term={PHRASE},-,-,-,-,Текстово-графический,Оригинальный,Поиск,Динамические места на поиске,Не определено,Смартфоны,Android,Wi-Fi,,Мужской,35-44 года,2–5%,Не определено,-,-,0.00,1,0,0,-,-,0.00,-,0.40,0.00,40.21,3.00,-,-,-
23.08.2026,Аренда в Сириусе,5787634638,Автотаргетинг,,-,0,-,0,сочи имери имеретинский порт катание на яхте,Целевые запросы,Запросы без упоминания брендов,-,1918637737025426521,Комбинаторное,Заголовок из контента поискового сниппета или настроек объявления,Текст из контента поискового сниппета или настроек объявления,Активные,https://boat-sochi.ru/?utm_content=sirius_1&utm_term={PHRASE},-,-,-,-,Текстово-графический,Оригинальный,Поиск,Динамические места на поиске,Не определено,Смартфоны,Android,Wi-Fi,,Мужской,35-44 года,2–5%,Не определено,-,-,207.90,1,1,1,100.00,207.90,100.00,207.90,0.77,129.64,77.14,1.00,1.00,0.00,3.50
23.08.2026,Аренда в Сириусе,5787634638,Автотаргетинг,,-,0,-,0,стоимость катамарана в сириусе,Целевые запросы,Запросы без упоминания брендов,-,1918637737025426521,Комбинаторное,Заголовок из контента поискового сниппета или настроек объявления,Текст из контента поискового сниппета или настроек объявления,Активные,https://boat-sochi.ru/?utm_content=sirius_1&utm_term={PHRASE},-,-,-,-,Текстово-графический,Оригинальный,Поиск,Динамические места на поиске,Не определено,Смартфоны,Android,Wi-Fi,,Женский,35-44 года,Остальные,Не определено,-,-,0.00,1,0,0,-,-,0.00,-,0.22,0.00,22.29,5.00,-,-,-
23.08.2026,Аренда в Сириусе,5787634638,Автотаргетинг,,-,0,-,0,яхта в омске аренда,Целевые запросы,Запросы без упоминания брендов,-,1918637737025426521,Комбинаторное,Утром 7 500 ₽/час — вся яхта ваша,От 8 000 ₽/час или 15000 ₽ за 2 часа. Капитан Олег. Бронь в день обращения,Активные,https://boat-sochi.ru/?utm_content=sirius_1&utm_term={PHRASE},-,-,-,-,Текстово-графический,Оригинальный,Поиск,Прочее,Не определено,Смартфоны,iOS,Wi-Fi,,Женский,18-24 года,Остальные,Не определено,-,-,0.00,1,0,0,-,-,0.00,-,0.09,0.00,8.50,5.00,-,-,-
23.08.2026,Аренда в Сириусе,5787634638,Автотаргетинг,,-,0,-,0,яхта ижевск,Целевые запросы,Запросы без упоминания брендов,-,1918637737025426521,Комбинаторное,Утром 7 500 ₽/час — вся яхта ваша,От 8 000 ₽/час или 15000 ₽ за 2 часа. Капитан Олег. Бронь в день обращения,Активные,https://boat-sochi.ru/?utm_content=sirius_1&utm_term={PHRASE},-,-,-,-,Текстово-графический,Оригинальный,Поиск,Прочее,Не определено,Смартфоны,iOS,Wi-Fi,,Не определен,Не определен,Остальные,Не определено,-,-,0.00,1,0,0,-,-,0.00,-,0.09,0.00,8.50,5.00,-,-,-
23.08.2026,Аренда в Сириусе,5787634638,Автотаргетинг,,-,0,-,0,яхта моторная яхта аренда яхты,Целевые запросы,Запросы без упоминания брендов,-,1918637737025426521,Комбинаторное,Аренда яхты в Сириусе — с капитаном,"Весь катер для вас, не групповая прогулка. Выход из Имеретинского порта. От 2 часов",Активные,https://boat-sochi.ru/?utm_content=sirius_1&utm_term={PHRASE},-,-,-,-,Текстово-графический,Оригинальный,Поиск,Спецразмещение,Не определено,Смартфоны,Android,Wi-Fi,,Не определен,Не определен,Остальные,Не определено,-,-,0.00,1,0,0,-,-,0.00,-,0.06,0.00,5.70,5.00,-,-,-
23.08.2026,Клиенты в Сириусе,5673220658,Фраза,аренда яхт и катеров в Сириусе,-,0,-,0,яхт порт сириус аренда катеров лодок яхт,Не определено,-,Семантическое,17381774045,Комбинаторное,"Морские прогулки в Сириусе, аренда каютного катера.","Аренда катера с капитаном. Новые впечатления, незабываемые эмоции и яркие кадры.",Активные,https://boat-sochi.ru/?utm_content=client&utm_term={PHRASE},-,-,-,-,Текстово-графический,Оригинальный,Поиск,Прочее,Не определено,Смартфоны,Android,Wi-Fi,,Женский,35-44 года,Остальные,Не определено,-,-,0.00,1,0,0,-,-,0.00,-,1.00,0.00,100.00,-,-,-,-
23.08.2026,Клиенты в Сириусе,5673220658,Фраза,катер Имеретинский порт,-,0,-,0,имеретинский порт яхты катеры сайт,Альтернативные запросы,Запросы без упоминания брендов,Семантическое,17381734309,Комбинаторное,Заголовок из контента поискового сниппета или настроек объявления,Текст из контента поискового сниппета или настроек объявления,Активные,https://boat-sochi.ru/?utm_content=client&utm_term={PHRASE},-,-,-,-,Текстово-графический,Оригинальный,Поиск,Динамические места на поиске,Не определено,Смартфоны,iOS,Wi-Fi,,Женский,18-24 года,Остальные,Не определено,-,-,0.00,1,0,0,-,-,0.00,-,0.74,0.00,73.74,1.00,-,-,-
23.08.2026,Клиенты в Сириусе,5673220658,Фраза,катер Имеретинский порт,-,0,-,0,катер в имеретинской бухте,Целевые запросы,Запросы без упоминания брендов,Семантическое,17381774045,Комбинаторное,"Морские прогулки в Сириусе, аренда каютного катера.","Аренда катера с капитаном. Новые впечатления, незабываемые эмоции и яркие кадры.",Активные,https://boat-sochi.ru/?utm_content=client&utm_term={PHRASE},-,-,-,-,Текстово-графический,Оригинальный,Поиск,Спецразмещение,Не определено,Смартфоны,Android,Wi-Fi,,Женский,18-24 года,Остальные,Не определено,-,-,0.00,2,0,0,-,-,0.00,-,1.41,0.00,70.47,3.00,-,-,-
