День,Название группы,№ Группы,Тип условия показа,Ключевая фраза,Условие подбора аудитории,Условие подбора аудитории,Название корректировки,Корректировки,Поисковый запрос,Категория запроса,Упоминания брендов в запросах,Тип соответствия,Подобранная фраза,Тип площадки,Вид размещения,Пол,Возраст,№ Объявления,Заголовок,"Расход, ₽",Показы,Клики,Конверсии,"CR, %","CPA, ₽","CTR, %","CPC, ₽",Взвешенные показы,"Взвешенный CTR, %",Ср. объём трафика,Ср. позиция показа,Ср. позиция клика
27.07.2026,Группа 2 - Гео (ключевая),5773898865,Автотаргетинг,,-,0,-,0,петрович выборг,Альтернативные запросы,Запросы с упоминанием брендов конкурентов,-,,Поиск,Прочее,Мужской,45-54 года,1915800871397818629,Бесплатная доставка по Выборгскому району,0.00,1,0,0,-,-,0.00,-,0.09,0.00,8.50,5.00,-
27.07.2026,Группа 2 - Гео (ключевая),5773898865,Автотаргетинг,,-,0,-,0,петрович выборг,Альтернативные запросы,Запросы с упоминанием брендов конкурентов,-,,Поиск,Прочее,Мужской,Старше 55,1915800871397818629,Бесплатная доставка по Выборгскому району,0.00,1,0,0,-,-,0.00,-,1.00,0.00,100.00,5.00,-
27.07.2026,Группа 2 - Гео (ключевая),5773898865,Автотаргетинг,,-,0,-,0,петрович выборг,Альтернативные запросы,Запросы с упоминанием брендов конкурентов,-,,Поиск,Прочее,Женский,Старше 55,1915800871397818629,Бесплатная доставка по Выборгскому району,0.00,1,0,0,-,-,0.00,-,0.09,0.00,8.50,5.00,-
27.07.2026,Группа 2 - Гео (ключевая),5773898865,Автотаргетинг,,-,0,-,0,петрович выборг,Альтернативные запросы,Запросы с упоминанием брендов конкурентов,-,,Поиск,Эксклюзивное размещение,Женский,Старше 55,1915800871397818629,Бесплатная доставка по Выборгскому району,0.00,1,0,0,-,-,0.00,-,1.24,0.00,123.89,1.00,-
27.07.2026,Группа 2 - Гео (ключевая),5773898865,Автотаргетинг,,-,0,-,0,петрович выборг каталог товаров в выборге и цена,Широкие запросы,Запросы с упоминанием брендов конкурентов,-,,Поиск,Спецразмещение,Женский,45-54 года,1915800871397818629,Бесплатная доставка по Выборгскому району,0.00,1,0,0,-,-,0.00,-,0.51,0.00,50.58,4.00,-
27.07.2026,Группа 2 - Гео (ключевая),5773898865,Автотаргетинг,,-,0,-,0,петрович выборг каталог товаров в выборге и цена,Широкие запросы,Запросы с упоминанием брендов конкурентов,-,,Поиск,Прочее,Мужской,35-44 года,1915800871397818629,Бесплатная доставка по Выборгскому району,0.00,1,0,0,-,-,0.00,-,0.09,0.00,8.50,5.00,-
27.07.2026,Группа 2 - Гео (ключевая),5773898865,Автотаргетинг,,-,0,-,0,петрович выборг каталог товаров в выборге и цена,Широкие запросы,Запросы с упоминанием брендов конкурентов,-,,Поиск,Прочее,Мужской,Старше 55,1915800871397818629,Бесплатная доставка по Выборгскому району,0.00,1,0,0,-,-,0.00,-,0.09,0.00,8.50,5.00,-
27.07.2026,Группа 2 - Гео (ключевая),5773898865,Автотаргетинг,,-,0,-,0,петрович выборг каталог товаров в выборге и цена,Широкие запросы,Запросы с упоминанием брендов конкурентов,-,,Поиск,Прочее,Женский,45-54 года,1915800871397818629,Бесплатная доставка по Выборгскому району,0.00,1,0,0,-,-,0.00,-,0.06,0.00,5.58,7.00,-
27.07.2026,Группа 2 - Гео (ключевая),5773898865,Автотаргетинг,,-,0,-,0,строим дом выборг каталог товаров,Широкие запросы,Запросы без упоминания брендов,-,,Поиск,Спецразмещение,Женский,25-34 года,1915800871397818629,Бесплатная доставка по Выборгскому району,0.00,1,0,0,-,-,0.00,-,0.83,0.00,83.29,2.00,-
27.07.2026,Группа 2 - Гео (ключевая),5773898865,Автотаргетинг,,-,0,-,0,строим наш дом выборг каталог товаров в выборге и цена,Широкие запросы,Запросы с упоминанием брендов конкурентов,-,,Поиск,Спецразмещение,Женский,35-44 года,1915800871397818629,Бесплатная доставка по Выборгскому району,0.00,1,1,0,0.00,-,100.00,0.00,1.10,90.94,109.97,1.00,1.00
27.07.2026,Группа 2 - Гео (ключевая),5773898865,Автотаргетинг,,-,0,-,0,термопанели bauart,Альтернативные запросы,Запросы с упоминанием брендов конкурентов,-,,Поиск,Спецразмещение,Женский,25-34 года,1915800871397818629,Производитель термопанелей в Ленобласти,0.00,1,0,0,-,-,0.00,-,0.44,0.00,44.30,4.00,-
27.07.2026,Группа 2 - Гео (ключевая),5773898865,Автотаргетинг,,-,0,-,0,термопанели под кирпич анапа,Широкие запросы,Запросы без упоминания брендов,-,,Поиск,Спецразмещение,Мужской,Старше 55,1915800871397818629,"Термопанели в Выборге - завод на Ленина, 11",0.00,1,0,0,-,-,0.00,-,0.71,0.00,71.15,3.00,-
27.07.2026,Группа 2 - Гео (ключевая),5773898865,Автотаргетинг,,-,0,-,0,термопанель с клинкерной плиткой для фасада фирма фаворит,Альтернативные запросы,Запросы с упоминанием брендов конкурентов,-,,Поиск,Прочее,Женский,Старше 55,1915800871397818629,Термопанели с клинкером - собственный завод в Выборге,0.00,1,0,0,-,-,0.00,-,0.09,0.00,8.50,5.00,-
27.07.2026,Группа 2 - Гео (ключевая),5773898865,Автотаргетинг,,-,0,-,0,технониколь хауберк кирпич оптима альпийский куплю в топ хаус,Альтернативные запросы,Запросы с упоминанием брендов конкурентов,-,,Поиск,Спецразмещение,Мужской,45-54 года,1915800871397818629,Купить термопанели в Выборге напрямую,0.00,1,0,0,-,-,0.00,-,0.66,0.00,66.38,3.00,-
27.07.2026,Группа 2 - Гео (ключевая),5773898865,Автотаргетинг,,-,0,-,0,фасадные панели купить в выборге,Целевые запросы,Запросы без упоминания брендов,-,,Поиск,Прочее,Женский,Старше 55,1915800871397818629,"Термопанели в Выборге - завод на Ленина, 11",0.00,1,0,0,-,-,0.00,-,0.85,0.00,84.88,5.00,-
27.07.2026,Группа 3 - клинкер (продуктовая),5773902142,Фраза,клинкерные термопанели -купить -плитка -фасад -цена -дом,-,0,-,0,клинкерная термопанель,Целевые запросы,Запросы без упоминания брендов,Пословное,,Поиск,Прочее,Мужской,25-34 года,1915802914729060647,Клинкерные термопанели - производство Выборг,0.00,1,0,0,-,-,0.00,-,0.38,0.00,37.78,8.00,-
