Название кампании,№ Кампании,День,Название группы,№ Группы,Тип условия показа,Ключевая фраза,Условие подбора аудитории,Условие подбора аудитории,Название корректировки,Корректировки,Поисковый запрос,Категория запроса,Упоминания брендов в запросах,Тип соответствия,Подобранная фраза,Название товара или каталога,Производитель товара,Категория товара,Тип площадки,Вид размещения,Тематика телеграм-канала,Тип устройства,Тип операционной системы,Тип связи,Пол,Возраст,Уровень платежеспособности,Уровень трат в категории,№ Объявления,Статус объявления,Тип объявления,Заголовок,Текст,Ссылка,Путь до изображения,Название файла изображения,Идентификатор видео,Путь до превью видео,Формат,Источник текста,"Расход, ₽",Клики,Конверсии,"CR, %","CPA, ₽",Показы,"CPC, ₽","CTR, %",Взвешенные показы,"Взвешенный CTR, %",Ср. объём трафика,Ср. позиция показа,Ср. позиция клика,"Отказы, %",Глубина просмотра
Термопанели в Выборге,712773255,26.08.2026,Группа 1 - коммерческая,5773901452,Автотаргетинг,,-,0,-,0,термопанели,Целевые запросы,Запросы без упоминания брендов,-,,,,,Поиск,Прочее,Не определено,Смартфоны,Android,Wi-Fi,Женский,35-44 года,2–5%,Не определено,1915802398259215246,Активные,Комбинаторное,Термопанели с клинкером - собственный завод в Выборге,Без посредников - завод. 60+ видов декора. Доставка по Ленобласти.,https://marmara-pro.ru?utm_content=commerce&utm_term={PHRASE},-,-,-,-,Текстово-графический,Оригинальный,0.00,0,0,-,-,1,-,0.00,0.39,0.00,38.70,8.00,-,-,-
Термопанели в Выборге,712773255,26.08.2026,Группа 1 - коммерческая,5773901452,Автотаргетинг,,-,0,-,0,термопанели для наружной отделки дома,Целевые запросы,Запросы без упоминания брендов,-,,,,,Поиск,Прочее,Не определено,Смартфоны,Android,Wi-Fi,Мужской,Старше 55,Остальные,Не определено,1915802398259215246,Активные,Комбинаторное,Производитель термопанелей в Ленобласти,Свое производство в Выборге. Приезжайте на образцы. Бесплатная доставка по району.,https://marmara-pro.ru?utm_content=commerce&utm_term={PHRASE},-,-,-,-,Текстово-графический,Оригинальный,0.00,0,0,-,-,1,-,0.00,0.45,0.00,44.58,8.00,-,-,-
Термопанели в Выборге,712773255,26.08.2026,Группа 1 - коммерческая,5773901452,Автотаргетинг,,-,0,-,0,термопанели для наружной отделки дома,Целевые запросы,Запросы без упоминания брендов,-,,,,,Поиск,Товарная галерея,Не определено,Десктопы,Не определён,Wi-Fi,Мужской,45-54 года,2–5%,Не определено,1915802398259215246,Активные,Комбинаторное,Гарантия до 5 лет на термопанели,Свое производство в Выборге. Приезжайте на образцы. Бесплатная доставка по району.,https://marmara-pro.ru?utm_content=commerce&utm_term={PHRASE},http://direct.yandex.ru/images/direct/5442016/qtxMfdimB3EKymbW9TWLzQ,термопанель.png,-,-,Текстово-графический,Оригинальный,0.00,0,0,-,-,1,-,0.00,0.36,0.00,35.97,7.00,-,-,-
Термопанели в Выборге,712773255,26.08.2026,Группа 1 - коммерческая,5773901452,Автотаргетинг,,-,0,-,0,термопанели пенополиуретан,Целевые запросы,Запросы без упоминания брендов,-,,,,,Поиск,Прочее,Не определено,Десктопы,Не определён,Wi-Fi,Мужской,45-54 года,Остальные,Не определено,1915802398259215246,Активные,Комбинаторное,Производитель термопанелей в Ленобласти,Свое производство в Выборге. Приезжайте на образцы. Бесплатная доставка по району.,https://marmara-pro.ru?utm_content=commerce&utm_term={PHRASE},-,-,-,-,Текстово-графический,Оригинальный,0.00,0,0,-,-,1,-,0.00,0.85,0.00,84.88,5.00,-,-,-
Термопанели в Выборге,712773255,26.08.2026,Группа 2 - Гео (ключевая),5773898865,Автотаргетинг,,-,0,-,0,клинкерные термопанели для фасада купить в спб,Целевые запросы,Запросы без упоминания брендов,-,,,,,Поиск,Прочее,Не определено,Смартфоны,Android,Wi-Fi,Мужской,45-54 года,Остальные,Не определено,1915800871397818629,Активные,Комбинаторное,Клинкерные термопанели - производство Выборг,Клинкерная плитка+утеплитель в одной панели. Оплата в два этапа. Звоните!,https://marmara-pro.ru?utm_content=zavod&utm_term={PHRASE},-,-,-,-,Текстово-графический,Оригинальный,0.00,0,0,-,-,1,-,0.00,0.60,0.00,59.61,7.00,-,-,-
Термопанели в Выборге,712773255,26.08.2026,Группа 2 - Гео (ключевая),5773898865,Автотаргетинг,,-,0,-,0,фасадные термопанели,Целевые запросы,Запросы без упоминания брендов,-,,,,,Поиск,Прочее,Не определено,Смартфоны,Android,Wi-Fi,Мужской,25-34 года,Остальные,Не определено,1915800871397818629,Активные,Комбинаторное,Купить термопанели в Выборге напрямую,Без посредников - завод. 60+ видов декора. Доставка по Ленобласти.,https://marmara-pro.ru?utm_content=zavod&utm_term={PHRASE},-,-,-,-,Текстово-графический,Оригинальный,0.00,0,0,-,-,1,-,0.00,0.75,0.00,74.98,6.00,-,-,-
Термопанели в Выборге,712773255,26.08.2026,Группа 2 - Гео (ключевая),5773898865,Автотаргетинг,,-,0,-,0,фасадные термопанели для наружной отделки,Целевые запросы,Запросы без упоминания брендов,-,,,,,Поиск,Товарная галерея,Не определено,Десктопы,Не определён,Wi-Fi,Мужской,Старше 55,Остальные,Не определено,1915800871397818629,Активные,Комбинаторное,Термопанели с клинкером - собственный завод в Выборге,Свое производство в Выборге. Приезжайте на образцы. Бесплатная доставка по району.,https://marmara-pro.ru?utm_content=zavod&utm_term={PHRASE},http://direct.yandex.ru/images/direct/6195656/qVbV_RGwHrqBiQiD1NgoCw,бейджик (1).jpg,-,-,Текстово-графический,Оригинальный,0.00,0,0,-,-,1,-,0.00,0.31,0.00,30.99,8.00,-,-,-
Термопанели в Выборге,712773255,26.08.2026,Группа 3 - клинкер (продуктовая),5773902142,Автотаргетинг,,-,0,-,0,,Не определено,-,-,,,,,Сети,Прочее,Не определено,Десктопы,Не определён,Wi-Fi,Мужской,45-54 года,Остальные,Не определено,1915802914729060647,Активные,Комбинаторное,Термопанели с клинкером - собственный завод в Выборге,Без посредников - завод. 60+ видов декора. Доставка по Ленобласти.,https://marmara-pro.ru?utm_content=product&utm_term={PHRASE},http://direct.yandex.ru/images/direct/5442016/qtxMfdimB3EKymbW9TWLzQ,термопанель.png,1163321614,https://avatars.mds.yandex.net/get-media-adv-screenshooter/20873747/75477b03-780e-4e10-adff-81a72fc688af/orig,Видео,Автоматический,0.00,0,0,-,-,1,-,0.00,1.00,0.00,100.00,-,-,-,-
Термопанели в Выборге,712773255,26.08.2026,Группа 3 - клинкер (продуктовая),5773902142,Автотаргетинг,,-,0,-,0,,Не определено,-,-,,,,,Сети,Прочее,Не определено,Смартфоны,Android,Wi-Fi,Мужской,45-54 года,Остальные,Не определено,1915802914729060647,Активные,Комбинаторное,Термопанели с клинкером - собственный завод в Выборге,Без посредников - завод. 60+ видов декора. Доставка по Ленобласти.,https://marmara-pro.ru?utm_content=product&utm_term={PHRASE},http://direct.yandex.ru/images/direct/5442016/qtxMfdimB3EKymbW9TWLzQ,термопанель.png,1163321614,https://avatars.mds.yandex.net/get-media-adv-screenshooter/20873747/75477b03-780e-4e10-adff-81a72fc688af/orig,Текстово-графический,Оригинальный,0.00,0,0,-,-,1,-,0.00,1.00,0.00,100.00,-,-,-,-
Термопанели в Выборге,712773255,26.08.2026,Группа 3 - клинкер (продуктовая),5773902142,Автотаргетинг,,-,0,-,0,,Не определено,-,-,,,,,Сети,Прочее,Не определено,Смартфоны,Android,Wi-Fi,Мужской,Старше 55,Остальные,Не определено,1915802914729060647,Активные,Комбинаторное,"Термопанели в Выборге - завод на Ленина, 11",Без посредников - завод. 60+ видов декора. Доставка по Ленобласти.,https://marmara-pro.ru?utm_content=product&utm_term={PHRASE},http://direct.yandex.ru/images/direct/5250956/5XPY7aqvM1xRQF8e4uTrqg,карусель 4-3_06.jpg,1163322157,https://avatars.mds.yandex.net/get-media-adv-screenshooter/20941197/1d06a155-09ca-4034-b8a4-ad411694a4d7/orig,Текстово-графический,Автоматический,0.00,0,0,-,-,2,-,0.00,2.00,0.00,100.00,-,-,-,-
