Название кампании,№ Кампании,День,Название группы,№ Группы,Тип условия показа,Ключевая фраза,Условие подбора аудитории,Условие подбора аудитории,Название корректировки,Корректировки,Поисковый запрос,Категория запроса,Упоминания брендов в запросах,Тип соответствия,Подобранная фраза,Название товара или каталога,Производитель товара,Категория товара,Тип площадки,Вид размещения,Тематика телеграм-канала,Тип устройства,Тип операционной системы,Тип связи,Пол,Возраст,Уровень платежеспособности,Уровень трат в категории,№ Объявления,Статус объявления,Тип объявления,Заголовок,Текст,Ссылка,Путь до изображения,Название файла изображения,Идентификатор видео,Путь до превью видео,Формат,Источник текста,"Расход, ₽",Клики,Конверсии,"CR, %","CPA, ₽",Показы,"CPC, ₽","CTR, %",Взвешенные показы,"Взвешенный CTR, %",Ср. объём трафика,Ср. позиция показа,Ср. позиция клика,"Отказы, %",Глубина просмотра
"Приозерский район, Поиск   от 25-07-2026",713047408,17.08.2026,Приозерский район,5776633358,Автотаргетинг,,-,0,-,0,как правильно обшить крыльцо,Сопутствующие запросы,Запросы без упоминания брендов,-,,Клинкерная плитка фасадная SANDIA,,,Поиск,Прочее,Не определено,Десктопы,Не определён,Wi-Fi,Мужской,Не определен,Остальные,Не определено,1918168175770350076,Активные,Страницы каталога,Клинкерная плитка фасадная SANDIA,Размер: 245×65 мм Толщина: 7 мм Cтоимость 1 м2 - 1300 ₽,https://marmara-pro.ru/termo/tproduct/2229245581-939423936422-klinkernaya-plitka-fasadnaya-sandia?utm_source=yandex&utm_medium=cpc&utm_campaign=termopaneli_priozersk_cpa_search&utm_content=search&utm_term={PHRASE},-,-,-,-,Текстово-графический,Оригинальный,0.00,0,0,-,-,1,-,0.00,0.90,0.00,89.90,6.00,-,-,-
"Приозерский район, Поиск   от 25-07-2026",713047408,17.08.2026,Приозерский район,5776633358,Автотаргетинг,,-,0,-,0,как сделать теплую стену в санузле в каркасном доме,Сопутствующие запросы,Запросы без упоминания брендов,-,,Термопанель Колорадо 1 (32 шт),,,Поиск,Прочее,Не определено,Смартфоны,Android,Wi-Fi,Женский,Старше 55,Остальные,Не определено,1918168175770350076,Активные,Страницы каталога,Термопанель Колорадо 1 (32 шт),Термопанели с клинкерной плиткой. Производство в Выборге. Доставка.,https://marmara-pro.ru/termo/tproduct/2229245581-133022576952-termopanel-kolorado-1-32-sht?utm_source=yandex&utm_medium=cpc&utm_campaign=termopaneli_priozersk_cpa_search&utm_content=search&utm_term={PHRASE},-,-,-,-,Текстово-графический,Оригинальный,0.00,0,0,-,-,1,-,0.00,0.09,0.00,8.50,5.00,-,-,-
"Приозерский район, Поиск   от 25-07-2026",713047408,17.08.2026,Приозерский район,5776633358,Автотаргетинг,,-,0,-,0,как установить цокольные панели на свайный фундамент,Сопутствующие запросы,Запросы без упоминания брендов,-,,,,,Поиск,Спецразмещение,Не определено,Смартфоны,iOS,Wi-Fi,Мужской,35-44 года,2–5%,Не определено,1916597733861553174,Архивные,Комбинаторное,Утепление фасада термопанелями,Клинкерный фасад без мокрых работ. Монтаж зимой до −15 °C. ППС и ППУ. Звоните!,https://marmara-pro.ru?utm_source=yandex&utm_medium=cpc&utm_campaign=termopaneli_priozersk_cpa_search&utm_content=search&utm_term={PHRASE},-,-,-,-,Текстово-графический,Оригинальный,0.00,0,0,-,-,1,-,0.00,1.16,0.00,115.83,1.00,-,-,-
"Приозерский район, Поиск   от 25-07-2026",713047408,17.08.2026,Приозерский район,5776633358,Автотаргетинг,,-,0,-,0,как установить цокольные панели на свайный фундамент,Сопутствующие запросы,Запросы без упоминания брендов,-,,,,,Поиск,Прочее,Не определено,Смартфоны,iOS,Wi-Fi,Мужской,35-44 года,2–5%,Не определено,1916597733861553174,Архивные,Комбинаторное,Термопанели для дома в Приозерске,Утепление и фасад за один этап. Производство в Выборге. Доставка по Ленобласти.,https://marmara-pro.ru?utm_source=yandex&utm_medium=cpc&utm_campaign=termopaneli_priozersk_cpa_search&utm_content=search&utm_term={PHRASE},-,-,-,-,Текстово-графический,Оригинальный,0.00,0,0,-,-,1,-,0.00,1.00,0.00,100.00,5.00,-,-,-
"Приозерский район, Поиск   от 25-07-2026",713047408,17.08.2026,Приозерский район,5776633358,Автотаргетинг,,-,0,-,0,как установить цокольные панели на свайный фундамент,Сопутствующие запросы,Запросы без упоминания брендов,-,,,,,Поиск,Прочее,Не определено,Смартфоны,iOS,Wi-Fi,Мужской,35-44 года,2–5%,Не определено,1916597733861553174,Архивные,Комбинаторное,Утепление фасада термопанелями,Клинкерный фасад без мокрых работ. Монтаж зимой до −15 °C. ППС и ППУ. Звоните!,https://marmara-pro.ru?utm_source=yandex&utm_medium=cpc&utm_campaign=termopaneli_priozersk_cpa_search&utm_content=search&utm_term={PHRASE},-,-,-,-,Текстово-графический,Оригинальный,0.00,0,0,-,-,1,-,0.00,1.00,0.00,100.00,5.00,-,-,-
"Приозерский район, Поиск   от 25-07-2026",713047408,17.08.2026,Приозерский район,5776633358,Автотаргетинг,,-,0,-,0,как утеплить усадочный зазор над окном в деревянном доме,Сопутствующие запросы,Запросы без упоминания брендов,-,,,,,Поиск,Спецразмещение,Не определено,Смартфоны,Android,Wi-Fi,Женский,45-54 года,Остальные,Не определено,1916597733861553174,Архивные,Комбинаторное,Термопанели для дома в Приозерске,Утепление и фасад за один этап. Производство в Выборге. Доставка по Ленобласти.,https://marmara-pro.ru?utm_source=yandex&utm_medium=cpc&utm_campaign=termopaneli_priozersk_cpa_search&utm_content=search&utm_term={PHRASE},-,-,-,-,Текстово-графический,Оригинальный,0.00,0,0,-,-,2,-,0.00,1.90,0.00,95.07,1.00,-,-,-
"Приозерский район, Поиск   от 25-07-2026",713047408,17.08.2026,Приозерский район,5776633358,Автотаргетинг,,-,0,-,0,как утеплить усадочный зазор над окном в деревянном доме,Сопутствующие запросы,Запросы без упоминания брендов,-,,,,,Поиск,Прочее,Не определено,Смартфоны,Android,Wi-Fi,Женский,45-54 года,Остальные,Не определено,1916597733861553174,Архивные,Комбинаторное,Термопанели для дома в Приозерске,Утепление и фасад за один этап. Производство в Выборге. Доставка по Ленобласти.,https://marmara-pro.ru?utm_source=yandex&utm_medium=cpc&utm_campaign=termopaneli_priozersk_cpa_search&utm_content=search&utm_term={PHRASE},-,-,-,-,Текстово-графический,Оригинальный,0.00,0,0,-,-,3,-,0.00,3.00,0.00,100.00,5.00,-,-,-
"Приозерский район, Поиск   от 25-07-2026",713047408,17.08.2026,Приозерский район,5776633358,Автотаргетинг,,-,0,-,0,как утепляется клееный брус,Сопутствующие запросы,Запросы без упоминания брендов,-,,,,,Поиск,Спецразмещение,Не определено,Смартфоны,iOS,Wi-Fi,Мужской,35-44 года,Остальные,Не определено,1916597733861553174,Архивные,Комбинаторное,Термопанели для дома в Приозерске,Утепление и фасад за один этап. Производство в Выборге. Доставка по Ленобласти.,https://marmara-pro.ru?utm_source=yandex&utm_medium=cpc&utm_campaign=termopaneli_priozersk_cpa_search&utm_content=search&utm_term={PHRASE},-,-,-,-,Текстово-графический,Оригинальный,0.00,0,0,-,-,1,-,0.00,1.00,0.00,100.00,-,-,-,-
"Приозерский район, Поиск   от 25-07-2026",713047408,17.08.2026,Приозерский район,5776633358,Автотаргетинг,,-,0,-,0,как утепляется клееный брус,Сопутствующие запросы,Запросы без упоминания брендов,-,,,,,Поиск,Прочее,Не определено,Смартфоны,iOS,Wi-Fi,Мужской,35-44 года,Остальные,Не определено,1916597733861553174,Архивные,Комбинаторное,Фасадные термопанели с клинкером,Срок службы 25–50 лет. Не требуют покраски. Подберём толщину под ваш дом.,https://marmara-pro.ru?utm_source=yandex&utm_medium=cpc&utm_campaign=termopaneli_priozersk_cpa_search&utm_content=search&utm_term={PHRASE},-,-,-,-,Текстово-графический,Оригинальный,0.00,0,0,-,-,1,-,0.00,0.09,0.00,8.50,5.00,-,-,-
"Приозерский район, Поиск   от 25-07-2026",713047408,17.08.2026,Приозерский район,5776633358,Автотаргетинг,,-,0,-,0,какой фасад для дома выбрать,Сопутствующие запросы,Запросы без упоминания брендов,-,,,,,Поиск,Спецразмещение,Не определено,Смартфоны,Android,Wi-Fi,Мужской,25-34 года,Остальные,Не определено,1916597733861553174,Архивные,Комбинаторное,Термопанели для дома в Приозерске,Утепление и фасад за один этап. Производство в Выборге. Доставка по Ленобласти.,https://marmara-pro.ru?utm_source=yandex&utm_medium=cpc&utm_campaign=termopaneli_priozersk_cpa_search&utm_content=search&utm_term={PHRASE},-,-,-,-,Текстово-графический,Оригинальный,0.00,0,0,-,-,1,-,0.00,0.92,0.00,92.21,1.00,-,-,-
"Приозерский район, Поиск   от 25-07-2026",713047408,17.08.2026,Приозерский район,5776633358,Автотаргетинг,,-,0,-,0,калькулятор расхода строительных материалов,Сопутствующие запросы,Запросы без упоминания брендов,-,,,,,Поиск,Спецразмещение,Не определено,Смартфоны,iOS,Wi-Fi,Женский,45-54 года,Остальные,Не определено,1916597733861553174,Архивные,Комбинаторное,Производство в Выборге — доставка в район,Утепление и фасад за один этап. Производство в Выборге. Доставка по Ленобласти.,https://marmara-pro.ru?utm_source=yandex&utm_medium=cpc&utm_campaign=termopaneli_priozersk_cpa_search&utm_content=search&utm_term={PHRASE},-,-,-,-,Текстово-графический,Оригинальный,0.00,0,0,-,-,1,-,0.00,0.85,0.00,84.89,1.00,-,-,-
"Приозерский район, Поиск   от 25-07-2026",713047408,17.08.2026,Приозерский район,5776633358,Автотаргетинг,,-,0,-,0,калькулятор расхода строительных материалов,Сопутствующие запросы,Запросы без упоминания брендов,-,,,,,Поиск,Прочее,Не определено,Смартфоны,iOS,Wi-Fi,Женский,45-54 года,Топ 1%,Не определено,1916597733861553174,Архивные,Комбинаторное,Производство в Выборге — доставка в район,Утепление и фасад за один этап. Производство в Выборге. Доставка по Ленобласти.,https://marmara-pro.ru?utm_source=yandex&utm_medium=cpc&utm_campaign=termopaneli_priozersk_cpa_search&utm_content=search&utm_term={PHRASE},-,-,-,-,Текстово-графический,Оригинальный,0.00,0,0,-,-,1,-,0.00,1.00,0.00,100.00,5.00,-,-,-
