Название кампании,№ Кампании,День,Название группы,№ Группы,Тип условия показа,Ключевая фраза,Условие подбора аудитории,Условие подбора аудитории,Название корректировки,Корректировки,Поисковый запрос,Категория запроса,Упоминания брендов в запросах,Тип соответствия,Подобранная фраза,№ Объявления,Тип объявления,Заголовок,Название товара или каталога,Производитель товара,Категория товара,Тип площадки,Вид размещения,Тематика телеграм-канала,Тип устройства,Тип операционной системы,Тип связи,Пол,Возраст,Уровень платежеспособности,Уровень трат в категории,"Расход, ₽",Клики,Конверсии,"CR, %","CPA, ₽",Показы,"CPC, ₽","CTR, %",Взвешенные показы,"Взвешенный CTR, %",Ср. объём трафика,Ср. позиция показа,Ср. позиция клика,"Отказы, %",Глубина просмотра
"Приозерский район, Поиск   от 25-07-2026",713047408,10.08.2026,Приозерский район,5776633358,Автотаргетинг,,-,0,-,0,ближайший магазин стройматериалов,Широкие запросы,Запросы без упоминания брендов,-,,1916597733861553174,Комбинаторное,Производство в Выборге — доставка в район,,,,Поиск,Спецразмещение,Не определено,Смартфоны,Android,Wi-Fi,Мужской,35-44 года,6–10%,Не определено,0.00,0,0,-,-,1,-,0.00,1.48,0.00,147.58,1.00,-,-,-
"Приозерский район, Поиск   от 25-07-2026",713047408,10.08.2026,Приозерский район,5776633358,Автотаргетинг,,-,0,-,0,ближайший магазин стройматериалов,Широкие запросы,Запросы без упоминания брендов,-,,1916597733861553174,Комбинаторное,Производство в Выборге — доставка в район,,,,Поиск,Спецразмещение,Не определено,Смартфоны,Android,Wi-Fi,Мужской,Старше 55,Остальные,Не определено,0.00,0,0,-,-,1,-,0.00,1.51,0.00,150.94,1.00,-,-,-
"Приозерский район, Поиск   от 25-07-2026",713047408,10.08.2026,Приозерский район,5776633358,Автотаргетинг,,-,0,-,0,гранд лайн,Альтернативные запросы,Запросы с упоминанием брендов конкурентов,-,,1916597733861553174,Комбинаторное,Производство в Выборге — доставка в район,,,,Поиск,Прочее,Не определено,Смартфоны,Android,Wi-Fi,Мужской,35-44 года,Остальные,Не определено,0.00,0,0,-,-,1,-,0.00,0.09,0.00,8.50,5.00,-,-,-
"Приозерский район, Поиск   от 25-07-2026",713047408,10.08.2026,Приозерский район,5776633358,Автотаргетинг,,-,0,-,0,дом фасадов официальный сайт,Альтернативные запросы,Запросы с упоминанием брендов конкурентов,-,,1916597733861553174,Комбинаторное,Производство в Выборге — доставка в район,,,,Поиск,Прочее,Не определено,Смартфоны,Android,Wi-Fi,Мужской,35-44 года,Остальные,Не определено,0.00,0,0,-,-,1,-,0.00,1.41,0.00,141.42,5.00,-,-,-
"Приозерский район, Поиск   от 25-07-2026",713047408,10.08.2026,Приозерский район,5776633358,Автотаргетинг,,-,0,-,0,дом фасадов официальный сайт,Альтернативные запросы,Запросы с упоминанием брендов конкурентов,-,,1916597733861553174,Комбинаторное,Производство в Выборге — доставка в район,,,,Поиск,Эксклюзивное размещение,Не определено,Смартфоны,Android,Wi-Fi,Мужской,35-44 года,Остальные,Не определено,0.00,0,0,-,-,1,-,0.00,0.99,0.00,98.95,1.00,-,-,-
"Приозерский район, Поиск   от 25-07-2026",713047408,10.08.2026,Приозерский район,5776633358,Автотаргетинг,,-,0,-,0,если цоколь в каркасном доме получился очень низким что делать,Сопутствующие запросы,Запросы без упоминания брендов,-,,1916597733861553174,Комбинаторное,Клинкерные термопанели — КлинкерПрофи,,,,Поиск,Спецразмещение,Не определено,Смартфоны,iOS,Wi-Fi,Женский,Старше 55,2–5%,Не определено,0.00,0,0,-,-,1,-,0.00,0.79,0.00,78.54,1.00,-,-,-
"Приозерский район, Поиск   от 25-07-2026",713047408,10.08.2026,Приозерский район,5776633358,Автотаргетинг,,-,0,-,0,если цоколь в каркасном доме получился очень низким что делать,Сопутствующие запросы,Запросы без упоминания брендов,-,,1916597733861553174,Комбинаторное,Клинкерные термопанели — КлинкерПрофи,,,,Поиск,Прочее,Не определено,Смартфоны,iOS,Wi-Fi,Женский,Старше 55,2–5%,Не определено,0.00,0,0,-,-,1,-,0.00,1.00,0.00,100.00,5.00,-,-,-
"Приозерский район, Поиск   от 25-07-2026",713047408,10.08.2026,Приозерский район,5776633358,Автотаргетинг,,-,0,-,0,если цоколь в каркасном доме получился очень низким что делать,Сопутствующие запросы,Запросы без упоминания брендов,-,,1916597733861553174,Комбинаторное,Термопанели для дома в Приозерске,,,,Поиск,Прочее,Не определено,Смартфоны,iOS,Wi-Fi,Женский,Старше 55,2–5%,Не определено,0.00,0,0,-,-,1,-,0.00,1.00,0.00,100.00,5.00,-,-,-
"Приозерский район, Поиск   от 25-07-2026",713047408,10.08.2026,Приозерский район,5776633358,Автотаргетинг,,-,0,-,0,зашить цоколь дома на бетонных сваях,Сопутствующие запросы,Запросы без упоминания брендов,-,,1916597733861553174,Комбинаторное,Термопанели для дома в Приозерске,,,,Поиск,Спецразмещение,Не определено,Смартфоны,Android,Wi-Fi,Мужской,35-44 года,Остальные,Не определено,0.00,0,0,-,-,1,-,0.00,1.00,0.00,100.00,-,-,-,-
"Приозерский район, Поиск   от 25-07-2026",713047408,10.08.2026,Приозерский район,5776633358,Автотаргетинг,,-,0,-,0,зашить цоколь дома на бетонных сваях,Сопутствующие запросы,Запросы без упоминания брендов,-,,1916597733861553174,Комбинаторное,Утепление фасада термопанелями,,,,Поиск,Спецразмещение,Не определено,Смартфоны,Android,Wi-Fi,Мужской,35-44 года,Остальные,Не определено,0.00,0,0,-,-,1,-,0.00,1.00,0.00,100.00,-,-,-,-
